experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S2_acdc,5fold,snow,bus,0.158,0.0734,5,0.099,0.0641,5,0.4346,0.2132,5,0.1562,0.0947,5
S2_acdc,5fold,snow,bicycle,0.1428,0.0471,5,0.0624,0.0177,5,0.4839,0.1174,5,0.1102,0.0535,5
S2_acdc,official,overall,person,0.3031,,1,0.1288,,1,0.6433,,1,0.2457,,1
S2_acdc,official,overall,rider,0.1092,,1,0.0537,,1,0.3199,,1,0.102,,1
S2_acdc,official,overall,car,0.7025,,1,0.4505,,1,0.702,,1,0.6601,,1
S2_acdc,official,overall,truck,0.301,,1,0.2242,,1,0.3995,,1,0.3868,,1
S2_acdc,official,overall,bus,0.2063,,1,0.1052,,1,0.3338,,1,0.1837,,1
S2_acdc,official,overall,bicycle,0.0776,,1,0.0278,,1,0.2069,,1,0.0505,,1
S2_acdc,official,fog,person,0.4091,,1,0.2092,,1,0.8665,,1,0.2742,,1
S2_acdc,official,fog,rider,0.3152,,1,0.169,,1,0.8376,,1,0.2727,,1
S2_acdc,official,fog,car,0.8153,,1,0.5722,,1,0.8729,,1,0.7117,,1
S2_acdc,official,fog,truck,0.3338,,1,0.2345,,1,0.5653,,1,0.2927,,1
S2_acdc,official,fog,bus,0.6662,,1,0.5706,,1,0.4871,,1,0.6,,1
S2_acdc,official,fog,bicycle,0.3698,,1,0.1447,,1,0.7959,,1,0.2273,,1
S2_acdc,official,night,person,0.2198,,1,0.097,,1,0.6067,,1,0.1953,,1
S2_acdc,official,night,rider,0.0662,,1,0.0213,,1,0.2993,,1,0.0769,,1
S2_acdc,official,night,car,0.4934,,1,0.2984,,1,0.4154,,1,0.5451,,1
S2_acdc,official,night,truck,0.0806,,1,0.0395,,1,0.1296,,1,0.25,,1
S2_acdc,official,night,bicycle,0.0354,,1,0.0143,,1,0.0746,,1,0.026,,1
S2_acdc,official,rain,person,0.3439,,1,0.1303,,1,0.5374,,1,0.3284,,1
S2_acdc,official,rain,rider,0.0514,,1,0.0199,,1,0.0,,1,0.0,,1
S2_acdc,official,rain,car,0.6971,,1,0.4256,,1,0.6094,,1,0.6759,,1
S2_acdc,official,rain,truck,0.2078,,1,0.1578,,1,0.2384,,1,0.4375,,1
S2_acdc,official,rain,bus,0.1982,,1,0.0832,,1,0.3679,,1,0.1875,,1
S2_acdc,official,rain,bicycle,0.0362,,1,0.0188,,1,0.1512,,1,0.0455,,1
S2_acdc,official,snow,person,0.3167,,1,0.1353,,1,0.6945,,1,0.2079,,1
S2_acdc,official,snow,rider,0.0029,,1,0.0009,,1,0.0,,1,0.0,,1
S2_acdc,official,snow,car,0.7128,,1,0.4424,,1,0.8223,,1,0.5933,,1
S2_acdc,official,snow,truck,0.4573,,1,0.3638,,1,0.5157,,1,0.4634,,1
S2_acdc,official,snow,bus,0.114,,1,0.014,,1,0.2473,,1,0.0833,,1
S2_acdc,official,snow,bicycle,0.0874,,1,0.0198,,1,0.3251,,1,0.0345,,1
S2_in_domain,single,overall,person,0.4534,,1,0.2116,,1,0.5985,,1,0.4096,,1
S2_in_domain,single,overall,rider,0.4121,,1,0.1952,,1,0.6726,,1,0.3418,,1
S2_in_domain,single,overall,car,0.7347,,1,0.4566,,1,0.747,,1,0.6964,,1
S2_in_domain,single,overall,truck,0.5173,,1,0.3587,,1,0.5895,,1,0.4999,,1
S2_in_domain,single,overall,bus,0.5051,,1,0.3772,,1,0.6656,,1,0.4355,,1
S2_in_domain,single,overall,bicycle,0.3292,,1,0.1388,,1,0.5483,,1,0.3,,1
S3_acdc,5fold,overall,person,0.2918,0.0329,5,0.1273,0.019,5,0.5659,0.0545,5,0.2662,0.039,5
S3_acdc,5fold,overall,rider,0.1932,0.0304,5,0.0927,0.0103,5,0.5431,0.147,5,0.1594,0.0371,5
S3_acdc,5fold,overall,car,0.6605,0.0085,5,0.4128,0.0098,5,0.6444,0.0392,5,0.6346,0.0211,5
S3_acdc,5fold,overall,truck,0.3136,0.0481,5,0.2008,0.04,5,0.4428,0.0333,5,0.3499,0.0577,5
S3_acdc,5fold,overall,bus,0.1691,0.0664,5,0.1031,0.0465,5,0.3235,0.1247,5,0.1621,0.0858,5
S3_acdc,5fold,overall,bicycle,0.1398,0.0235,5,0.0623,0.0124,5,0.5122,0.1076,5,0.1062,0.0203,5
S3_acdc,5fold,fog,person,0.362,0.1688,5,0.1809,0.0829,5,0.6594,0.126,5,0.3049,0.157,5
S3_acdc,5fold,fog,rider,0.3659,0.2543,5,0.2064,0.151,5,0.6253,0.3752,5,0.3063,0.2179,5
S3_acdc,5fold,fog,car,0.7242,0.0255,5,0.4646,0.0195,5,0.7781,0.0401,5,0.669,0.0309,5
S3_acdc,5fold,fog,truck,0.4505,0.0647,5,0.2713,0.0537,5,0.7401,0.0612,5,0.3326,0.0849,5
S3_acdc,5fold,fog,bus,0.5496,0.2162,5,0.4502,0.1685,5,0.4411,0.2626,5,0.5689,0.3037,5
S3_acdc,5fold,fog,bicycle,0.3413,0.0622,5,0.1751,0.0149,5,0.7361,0.1231,5,0.2706,0.1036,5
S3_acdc,5fold,night,person,0.2306,0.0585,5,0.0975,0.0276,5,0.4066,0.1515,5,0.2686,0.0589,5
S3_acdc,5fold,night,rider,0.1425,0.0531,5,0.0631,0.0338,5,0.3951,0.2043,5,0.1252,0.0562,5
S3_acdc,5fold,night,car,0.4957,0.0299,5,0.2966,0.0218,5,0.312,0.1347,5,0.556,0.0276,5
S3_acdc,5fold,night,truck,0.037,0.0225,5,0.0177,0.0111,5,0.0591,0.0641,5,0.1967,0.1872,5
S3_acdc,5fold,night,bus,0.0528,0.0311,5,0.0197,0.0095,5,0.1408,0.0456,5,0.0878,0.0176,5
S3_acdc,5fold,night,bicycle,0.1313,0.0682,5,0.0536,0.0289,5,0.473,0.2539,5,0.1215,0.0472,5
